tweet,class
فينو الاهبل ابن الاهبل,neg
المصرين وجمالهم ربنا يحميهم,pos
دول اوي ودمهم خفيف العمارة كلها سورين والاطفال عسل,pos
خلي يوعني بحاجه همضي وصل امانه اضمن انو يخون,neg
هنتحر,neg
حفظ الله ريس,pos
عيون عطشان عطشانة سهر قلوب تعبانة تعبانة سفر كتروا الحب تلاقوا تلاقوا الضلمة الف قمر,pos
زهقنا اسامي اكونتات البنات مواقع التواصل الاجتماعي مثلا شروق الشمس الذهب الازرق بطيخ,neg
حمد الله السلامة,pos
احا,neg
تشوف واحشك بقالك مشفتوش,pos
دعاء نازله الجنينة حياتي دعاء السباعي دعاء السباعي دعاء السباعي,pos
لحد بيقول فاهم عارفه حاسه بيكذب,neg
مشروخ مشروخ جمي,neg
مشيشتش اسبوع انجاز,pos
كفايه البصه ببصها لحد طايق الحد,neg
احساس خد مكانك وسط الناس بتحبهم وهما سابوه يخدو عادي احساس وحش اوي,neg
بحب المدرس بتاعها فلذلك حبتها,pos
غيرك قلبي اكتبله مرسالي,pos
السكينة لباسه والبر شعاره والتقوي ضميره والحكمة مقوله والصدق والوفاء طبيعته والعفو والمعروف خلقه والعدل سيرته والحق شريعته والهدي امامه,pos
ربنا يشفيه ويقوم بالسلامه ويشفي,pos
متياسش فات واستبشر باللي جاي ربك كريم,pos
عاجل تردد قنوات الجزيره مباشر مصر التركيه التردد شباب معدل ترميز مدار نايل سات مبروك حرار شير,neu
التايم لاين فرح بطريقة تفر ح,pos
خخ كسم تضيع الرميات,neg
متخصصين بنضيع ضربات جزاء كره القدم ورميات حره السله مرار,neg
اهل مكة ادري بشعابها,neu
حالة الاكتئاب البؤس,neg
ثانيه الفرق لينا رب,pos
بلغك اخيك شيء تكرهه فالتمس العذر جهدك فان تجد عذرا فقل عذرا اعلمه ربنا يسامح,pos
الصقفة كلة يرقص الصقفة كلة يرقص زمالك,pos
احساس الدنيا تسود ادامك كره واحده وتلاقي هموم تقيله وقعت علييك فجاه احساس وحش اوي,neg
يملك الاخلاق والادب يسكن القلوب الادب,pos
بيشتم مينا,neg
الحياة خيالي حلوة اوي,pos
تياس حرمك الله تحب تحزن انجبرت التعايش وضع يؤلمك ابتسم الله قال بكل رحمة وعسي تكرهوا شيئا خير,pos
مفتقدة اوي فكرة قدي البيت,neg
النهايات السعيده دائما تاتي المشمش,neg
حوتك سيسي استقبال رائع لرئيس مصر الججيدة القوية,pos
صحيح الغربة صعبة الوحدة جميلة تخلص هموم الناس وتفضي لهومك تحلها,pos
رت ح اهدرتي دمي الم باح فان الايم ق ر فالكفر لاح,neg
صعبه تفتكر مهم وف الاخر تكتشف غلطان,neg
اتيهم اخرج بيهم,neu
مضايق قوي بصوت فداء,neg
الحرية لولتراس الحرية للمدرج الكورة للجمهور داخلية وسخة,neg
حبيبتي خدي القمر ورحت معاه وماداني السهر,neg
ومين مصر بيحب يرجع البيت يلاقي الغدا مكرونة وفراخ بانيه,neu
وخيمت عيناك بليلي وغادر نبضك عالمي عيناك منسيتان,neg
ربنا يحفظك شر يبارك فيكي,pos
جيل الايباد بمناسبة الامتحانات مامته بتقولوا ذاكر عاوزاك تاكل الكتاب اكل قالها اتي كوباية ميه واعملي شاي احبس ضحك,neu
لله راجعون لينك المكتب الحقوقي,neg
الدين عرف الحر مذلة مر,neg
اه والله حرقوا دمنا يلا بنحب مجانين,neg
قرب ربنا وهتقرب منك حاجة حلوة,pos
