,message,predicted,Cluster_PCA_withfirst177,Medical_conslut,service_support,PriceBooking_inquiry,place_inquiry
0,سمحتوا عايزة ادرس ماجيستير ادارة اعمال,obj,0,0.0,0.0,0.0,0.0
1,جماعة عاوز اخد كورس انجليزي يفدني,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
2,نشاطكم اية,obj,0,0.003289473684210526,0.0,0.0,0.0
3,ورشة عمل لمدة يوم واحد معتمدة الجامعة الامريكية بالقاهرة كبفبة حل المشاكل اتخاذ القرارات بطريقة علمية عايزة تعرفي تكلمينا شكرا,obj,0,0.0,0.0,0.0,0.014492753623188406
4,الكورس احجز احضر الاتنين,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
5,بليز تعرف المكان فين الاسكندرية,obj,0,0.0,0.0,0.0,place_inquiry
6,انجليزي مرسي,obj,0,0.0,0.0,0.0,0.0
7,مفيش عربي,obj,0,0.0,0.0,0.0,0.0
8,اعرف مكان الحفله فين والتاريخ,obj,0,0.0,0.0,0.0,place_inquiry
9,معادو الجديد امتي,obj,0,0.0,0.0,0.0,0.0
10,مكانها فين,obj,0,0.0,0.0,0.0,place_inquiry
11,فين منافذ البيع سمحتو,obj,0,0.0,0.0,0.0,place_inquiry
12,فين القاهرة الاسكندرية,obj,0,0.0,0.0,0.0,place_inquiry
13,النادي اليوناني ما بحري,obj,0,0.0,0.0,0.0,0.0
14,فين مكانها,obj,0,0.0,0.0,0.0,place_inquiry
15,فعلا عاوزين تعوضونا رخصو سعر التذكرة,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
16,بالنسبة للاطفال تزكرة سن كام,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
17,العشر نصائح لتخسيس الوزن,obj,0,0.0032679738562091504,0.0,0.0,0.0
18,اساسا يعتبر دعايا واعلان لمنتجات للشركات المفروض الشركات تتحمل تكلفة المهرجان كلها لان العائد عليهم والمفروض تبقي فري مجانا بسعر رمزي ما جنيه,obj,0,0.0,service_support,PriceBooking_inquiry,0.0
19,المعاد امتي بالظبط تبتدي وتخلص امتي,obj,0,0.0,0.0,0.0,0.0
20,القاهرة ازاي اشتري تذاكر,obj,0,0.0,0.0,0.0,place_inquiry
21,ازاي نشترك فمسابقة الطبخ,obj,0,0.0,0.0,0.0,0.0
22,عاوزة اسال شارموفرز يكونوا موجودين الساعة كام يطلعوا ستيدج الساعة كام,obj,0,0.0,0.0,PriceBooking_inquiry,0.0
23,يتعمل فين اصلا المهرجان,obj,0,0.0,0.0,0.0,place_inquiry
24,يتعمل القاهره,obj,0,0.0,0.0,0.0,place_inquiry
25,اسماء عاوزه اجي معاكم,obj,0,0.0,0.0,0.0,0.0
26,الاطفال ليهم تذاكر الكبار,obj,0,0.0,0.0,0.0,0.0
