tweet,class
' فينو الاهبل ابن الاهبل ',neg
' على المصرييييين وجمالهم ربنا يحميهم #MinaAtta http://t.co/NkOvSx6mgD ',pos
' @Kholoudkewan  دول كتير اوى ودمهم خفيف العمارة اللي انا فيها كلها سوريين والأطفال عسل ',pos
' انا بعد كده  خلى اللى يوعنى   بحاجه همضى على وصل امانه علشان اضمن انو مش يخون ',neg
' انا هنتحر ',neg
' في حفظ الله يا ريس http://t.co/RGKtP9QHZB ',pos
' يا عيون عطشان عطشانة سهر يا قلوب تعبانة تعبانة سفر كتروا من الحب تلاقوا تلاقوا في الضلمة ألف قمر ',pos
' #زهقنا_من اسامي اكونتات البنات على مواقع التواصل الاجتماعي زي مثلا شروق الشمس و الذهب الأزرق و أي بطيخ و السلام ',neg
' @Omarr793 حمد الله ع السلامة ✋ ',pos
' @ahmedeslam07 أحا مين ؟! ',neg
' لما تشوف حد واحشك كان بقالك كتير مشفتوش♡ ',pos
' دعاء نازله الجنينة حياتى♥ #StaracArabia  #DoaaElSebaii  دعاء السباعي دعاء السباعى دعاء السباعى ',pos
' @f7271c87648b4c5 لحد دلوقتي بيقول انه فاهم ...مش عارفه ليه حاسه انه بيكذب ',neg
' @MhmoudElgameil انا مشروخ مشروخ يا جمي ',neg
"' """"""مشيشتش بقالي أسبوع، انه إنجاز :D"""""""" '",pos
' كفايه البصه اللي ببصها لحد و انا مش طايق الحد ده .. ',neg
' احساس ان فى حد تانى خد مكانك من وسط الناس اللى بتحبهم وهما سابوه يخدو عادى . احساس وحش اوى ',neg
' @memoali4ever  بس انا كنت بحب المدرس بتاعها فلذلك حبتها ',pos
' و مين غيرك في قلبي اكتبله مرسالي ',pos
' السكينة لباسه والبر شعاره والتقوى ضميره والحكمة مقوله والصدق والوفاء طبيعته والعفو والمعروف خلقه والعدل سيرته والحق شريعته والهدى امامه ',pos
' @NesmaAbouleila @Tahoun71 ربنا يشفيه ويقوم بالسلامه ويشفى كل مريض ',pos
"' """"""متيأسش من اللي فات، واستبشر باللي جاي .. ربك كريم"""""""" '",pos
"' ""\""""@123Abdoibr: #عاجل  تردد قنوات الجزيره مباشر مصر التركيه دا التردد ياشباب 10921 علي معدل ترميز 27500 مدار 3 نايل سات مبروك يااحرار شير\""""\"""" '",neu
"' ""التايم لاين مُفرح بطريقة تفرّح :\"""")) '",pos
' خخخخخخخ كسم تضيع الرميات ',neg
' متخصصين بنضيع ضربات جزاء ف كره القدم ورميات حره ف السله مرار ',neg
' @waled21148264 اهل مكة ادرى بشعابها ',neu
' حالة من الاكتئاب و البؤس .. ',neg
' 32 ثانيه .. الفرق 55 لينا .. ياااارب ',pos
"' """"""إذا بلغك عن أخيك شيء تكرهه ، فالتمس له العذر جهدك ،فإن لم تجد له عذرا ، فقل : لعل له عذرا لا أعلمه.... ربنا يسامح .."""""""" '",pos
' على الصقفة كلة يرقص على الصقفة كلة يرقص  زماااااااااااااااااااااااااالك ',pos
' احساس ان الدنيا تسود ادامك كره واحده وتلاقى هموم تقيله وقعت علىيك فجاه  احساس وحش اوووى ',neg
' من يملك الأخلاق والأدب يسكن في القلوب إلى الأدب ',pos
' @mimi_kokaice76 بس بيشتم مينا ! ',neg
"' ""الحياة ال ف خيالي حلوة اوووي :\"""") '",pos
' لا تيأس إذا حرمك الله ما تحب ولا تحزن إذا انجبرت على التعايش مع وضع قد يؤلمك بل إبتسم لأن الله قال بكل رحمة وعسى أن تكرهوا شيئا وهو خير لكم ',pos
' مفتقدة اوي فكرة ان يكون في حد قدي في البيت. ',neg
' النهايات السعيده دائما تاتي في المشمش ',neg
' @ALIABAS81096753 @69_sou ياحﻻوتك ياسيسي استقبال رائع لرئيس مصر الججيدة القوية ',pos
' صحيح ان الغربة صعبة بس الوحدة جميلة :D تخلص من هموم الناس وتفضى لهومك تحلها :) ',pos
"' """"""مُرتَدٌّ أنا عن حُبكِ و إن أهدرتى دمى المُباحُ ، فإن كان الإيمَانُ فى قُرَبكِ فالكفر بكِ فَلاحُ !"""""""" '",neg
"' ""\""""@do_dy89: صعبه لما تفتكر انك مهم عند حد وف الاخر تكتشف انك كنت غلطان\"""" http://t.co/De82zZpxeL '",neg
' @weaamhilali  هاتيهم اخرج بيهم انا ',neu
' @Mohamed_Helmy_T انا مضايق قوي ..  بصوت فداء ',neg
' الحرية لﻻولتراس الحرية للمدرج الكورة للجمهور يا داخلية وسخة ',neg
' ده قالي في يوم يا حبيبتى خدي القمر  ورحت معاه ومااداني إلا السهر ',neg
' ومين في مصر مابيحبش يرجع البيت يلاقي الغدا مكرونة وفراخ بانيه ؟؟ ',neu
' وخيمت عيناك بليلى -------- وغادر نبضك عالمى ---------- عيناك منسيتان ',neg
' @teamah77 @medhat65 ربنا يحفظك من كل شر و يبارك فيكي ',pos
' جيل الايباد بمناسبة الامتحانات مامته بتقولوا ذاكر عاوزاك تاكل الكتاب اكل قالها هاتى كوباية ميه واعملى شاى علشان احبس ههههههههههههههههههههههه ',neu
' @sarrranagi إنا لله و إنا إليه راجعون  طب ممكن لينك المكتب الحقوقى ',neg
' دا الدين في عرف الحر هم و مذلة و مر ',neg
' @monyadel982 @DesoukyAya اه والله حرقوا دمنا يلا بنحب مجانين ',neg
' قرب من ربنا وهتقرب منك كل حاجة حلوة ♥ ',pos
' #KirazMevsimi #MohammadChahine  ياريت نكسف التصويت على رقم 2222222 للصوت الدهبى http://t.co/uNmOarkblk ',pos
' ومن تانى اكيد راجعين انا دايب وكلى حنين ',pos
' اللي يشوفها في الشارع ميشوفهاش ع الانستجرام ',neg
' من ٤ سنين اتفرجت ع مسلسل برغم اني بكره المسلسلات ان واحده تتعمي واللي بيحبها يروح يدرس مخصوص طب عيون علشان يعالجها ده قهره جماعيه يا جماعه ',neg
' @CBCeXtra افلح أن صدق والمقصود..(قطر( ',neg
' قاعدة الصحاب في نص الاسبوع بتقرب اكتر من قاعدة اخر الأسبوع ',neu
"' """"""\""""@seksek: هذه الدنيا كتاب انت فيه الفكر، من القائل\"""" الست"""""""" '",neu
' دلوقتي جاي بتلعب على الي خبزك وعجنك ! ',neg
"' ""@hanaa35 الخوف بألف نصل ---- كل نصل ينغرس فى حلم قادم ---- فتسود حالة نزف لكل الأحلام ---- ويسود البحث عن ذرة أمان \"""" وآمنهم من خوف \"""" '",neg
' الستاذ امير طعيمه اتصور سلفى مع شاهين ومينا بجوار كاس لقب ستار اكادمى ♥  #MohammadChahine ',neu
' انت اخر واحد ف الدنيا ممكن شيرين تبكى عليه .. انت فاهم ! ',neg
' @aaaahmad21  طبعا اهم من الكتابه والاحساس الاملاء الشيء لزوم الشيء  ..^^ ',neu
' @sohamorsy مساك أروع ',pos
' @sSoOma17 فى حد بعت هداي لشيرو ',neu
' كنترووووووووول نادوا دعاء بقى #StaracArabia #DoaaElSebaii ',neu
' كنت بائس من حياتى وحزين الساعه12 لكن دلوقتى متفأل ومبسوط فشخ  سبحان مغير اﻻحوال ',pos
' اوعي تستسهل ماده ',neu
' ماهو خلص الفيلم اللي كتبته علي عكس ما كنت انا بتمني .. دا انا كنت في حبك من الاول ابليس متعشم في الجنه ',neg
' انا من كتر الانشغال حاسس ان في وقت اجازتي كائن غريب في بيتي بتعرف علي الاسرة من اول وجديد ',neg
' اه علي الجامعة و امتحانات الجامعة ',neg
' @Dinaelhendwy فعلا صح عندك حق الله يرحمك يا امى ',pos
' تيجى عليه يابن الاحبى بورده   ....يسلم على كس امك ',neg
