tweet,class,pred,is_Similar
' @MaRwaEltantawy1 @MennaAshraf38 صح جدآ :( ',pos,pos,True
' @muhamsalah صباحك  ود  وصفاء ',pos,pos,True
' ربنا ينتقم من كل ظالم #معتقلي_الاتحادية ',neg,pos,False
' مطلعين فرسة من صالة المطار قدامى .. ايه الجمال دا ',pos,pos,True
' شهر(4) أكتر أكلة مفضلة عندك؟؟ ',neg,neu,False
' رب واحد ايمان واحد معمودية واحدة http://t.co/fDZNoDrFqf ',neu,pos,False
' البنت دى و أمثالها لازم يغنوا و يملوا الكون بغناهم نغسي نعلى بقى و مصر ترجع زى زمان كلها فن و رقى.. ',pos,pos,True
' يا ابنى انتو وهو زمالك مين وانبى مين  لسه فاضل 24ماتش  الدورى بتاعنا يا خروف منك ليه #اﻻهلى ',neg,neg,True
' يا حبيبتي البعد ناار قلبي داب من الانتظار ♡ ',pos,pos,True
' سرعة البديهه و حسن التصرف المتلازمه الانجح و الاكثر ابهارا بنسبالي ',neu,pos,False
' انا قلبي عليييك .. عليك قلبي ',pos,pos,True
' @1987Assy  3 وكما أننا نسعد أن نري كل العالم بخير وسلام وآمان ',pos,neu,False
"' """"""@horyagana ان شاء الله ، النصر من عند الله والظلم مهما طاااااااااااال لابد من حلول العدل وأنتصار العدل والحق في النهاية هي دي قاعده المسلم"""""""" '",pos,pos,True
' انا اللي من كتر ما اتقلي يا فاشل حاسيس اني فاشلت بجد ',neg,neg,True
' صبح علي جيرانك مثﻻ ',pos,neu,False
' علي عجينه وسيكا اخلاء سبيل ..بس لسه مخرجوش ..يارب الليله يكونو في بيوتهم ',pos,neg,False
' تدابير سير على الطريق البحرية ليلة رأس السنة http://t.co/YQyiM9jJiH ',neu,pos,False
' مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم مش فاهم ',neg,pos,False
' ما تسترجل يا ابن بت المرة الخول انت وهو ',neg,neg,True
' كفايه صدمات يا كلااااااااب! ',neg,neg,True
' الجيش الباكستاني يعلن مقتل 23 مسلحا في غارات شنتها الطائرات الحربية #CBCeXtra ',neu,neu,True
' @lolo00o3 @yazn200077 هما بقوا بيتكلموا مع بعض شكل دعاء اصلا متعرفش ايه اللى حصل وهى بره مشفتش حاجه #DoaaElSebaii #StaracArabia ',neu,neu,True
' الشناوي هيلعب ماتش بتروجيت ',neu,neu,True
"' ""#الوطن   وزير الشباب: #السيسي اقترح الاستعانة بـ\""""الأولتراس\"""" لافتتاح #قناة_السويس http://t.co/W4qwOgvKwz '",neu,neu,True
' @Golden_Knight14 الراجل واقف متكدر أصلاً ',neg,neg,True
"' """"""شهوة الجوع، تتغلب احياناً ع الشهوه الجنسيه!!"""""""" '",neu,neg,False
' مـحتاج لعنـيك يا ليـل❤. ',pos,neg,False
' دمتم سالمين ',pos,neg,False
"' """"""اللهم اكتب لي ماهو خير لي ، وارضني به."""""""" '",pos,pos,True
' انصرنا انصرنا يارب انصرنااااا ',pos,pos,True
' @AliEngmohammed8 فندق اتلانتس ',neu,neu,True
' رنا سماحة عنوان لفن فهى لديها موهبة شاملة #رنا_سماحة_في_إنت_حر ',pos,pos,True
"' """"""@Shaza231 @a_yousseef @Shaza231 رضا و أحمد سمير و محسن و عبد الغنى، بس شوفى حد math 1 عشان بيدى math 2 بس، العيال هياخدوا مع عزت تقريبا"""""""" '",neu,pos,False
' @anosh221123 سلام ',neu,neg,False
' @AdhamHindawi أستاذ محماه كان كده ياعم :D ',neu,pos,False
"' ""#اتفرج.. فيديو: \""""الطب الشرعي\"""" يكشف الستار عن عدد حالات الانتحار في #مصر  شاهد الفيديو.. http://t.co/YjEjo4nN3a http://t.co/PHjcPQtDU4 '",neu,pos,False
' بتضحك وعينيها كلها دمووووع نعم يا سادة انا اعشق شيرين يحيى #ShereenYehia  #مكملين_مع_شيرين #StaracArabia http://t.co/eaH22de8Gf ',pos,pos,True
' @SeyALY انت مقتنع طيب بللي بتقولوا دا؟ ',neg,neg,True
' #افضل_الصور_اﻻرسناليه_فى_2014 هشتاق جديد الكل ينزل افضل صور لديه ',neu,pos,False
' #RanaSamahaTeam @ranasamaha9t اجمل النظرات.... نظره من العين الى العين http://t.co/Iyy1nookRz ',pos,pos,True
' @ba7r_ahmed ميرسي بجد !! ',pos,pos,True
' #MinaAtta_on_cbc  مينا عطا ايه دا بقا دا بقا دا بقا دا http://t.co/6wdplzEZ9m ',pos,neg,False
"' ""I\""""m at North Marka ماركا الشمالية in Amman https://t.co/W9Sy1CIkph '",neu,neu,True
"' """"""الحياةُ بالقُرب من الله حياة مُطمئنة ، محفوفة بالتوفيق ، و مُزّينة بالرِّضا ، ومليئةٌ بالسّعادة ، عِشْ تلك الحياة ولك الهَناءُ أبدًا"""""""" '",pos,pos,True
"' ""فترة اللجوء الى \""""صلاح\"""" اللى هو انا يعنى بتخلينى اعدى حاجات كتير بفضل ربنا عليا ..:)) '",pos,neg,False
' @PSH_Supporters  مــن اجــمــل النــآس اللـى شــوفـتــهــآ فـ حــيــآتــى واللــه .. حــآجــة صغـنــنــة كتــهـ ♥♥♥ #بــآركـ_شــيـن_هــآى ♥♥ ',pos,neu,False
"' ""المشغول بك سيصنع وقتاً من أجلك♥ والمشغول عنك سيستغل أي حدث لينصرف عنك !\"""" '",neu,pos,False
' أنظر في قلبك ستراني ! ',pos,pos,True
' من يملك الأخلاق والأدب يسكن في القلوب إلى الأدب ',pos,neu,False
' @Elham_khafagy لأ الجو حلو النهارده .. وخاصه ع السطوح :D فى شمس حلوه بجد ',pos,pos,True
' @lsref_samera الحمدلله على الصحه والعافيه الله يديمها علينا ☝️ ',pos,pos,True
"' """"""ولا عارفه احل شي، اكلت هوا"""""""" '",neg,neg,True
' @I__Divo @Pinar_Gika17 طب ايه السبب في انهم يعتقلو ',neg,neu,False
' #ArabsGotTalent ميرسى بيكوو ',pos,pos,True
"' ""ليث وابتسام واشراق دودو  ❤❤ #DoaaElSebaii  #LaithAbuJoda  #Ibtissamtiskat  #IchrakGmar http://t.co/gaACFKAUKX\"""" '",pos,neu,False
' @NNevenadel دايما منوره الدنيا ',pos,neg,False
' الصلاه يا عباد الله.... ',neu,pos,False
"' """"""@elissakh عايشه حاله حب معاك وخداني ،،،،، ❤❤❤"""""""" '",pos,pos,True
' @AmsloughAsmae محمد عساف.. بطاقات حفله الكبير ليلة رأس السنة نفذت بالكامل!  http://t.co/AdUChSrUc2 ',neu,pos,False
' ﻟـﻦ ﻳـﺬﻫـﺐ ﻟـﻐـﻴـﺮﮒ ﺷـﮯﺀ ﻗـﺪ ﮔـﺘـﺒـﮧ ﺁﻟﻠﻪ ﻟـﮓ #ﺛق ﺑﺎلله ',neu,neu,True
' #القدس أكد خالد الصياد مسؤول تجمع قدسنا الرياضي  ان 4فرق مقدسية تتنافس يوم الاثنين على كأس الانطلاقة تي تنظمها الاكاديمية الفلسطينية ',neu,neu,True
' عذرا نويتن ف رنا سماحة سر الجاذبية #رنا_سماحة_في_إنت_حر ',pos,pos,True
' هلا http://t.co/VJUTCLUkXY ',pos,neg,False
' الحمدلله انا بطلت اسب الدين ',pos,pos,True
' خسرنا جولة من الجولات مش ١١ سنه ياخولات ',neg,pos,False
' @Mrim_AZ  البت لونها حلو اوووى ',pos,pos,True
' انا ضد العزل السياسي الي مش اخوان بس يحبهم  ينزل الانتخابات و احمد عز و رجالة الحزب الوطني ينزلو الانتخابات ',neg,pos,False
' مش من حقك تعرف ...يا حبيبي ! ',neg,pos,False
' @EslaMagdi وصحيح تتوقع ايه فى البوكسينج داى ؟ ',neu,neg,False
"' """"""من يحبّك حقاً لن يجرؤ على مرور الوقت بدونك ، سَ يحن ، سَ يشتاق ، سَ يتألم ، سَ يصّنع المستحيل ليحادثكَ !"""""""" '",pos,pos,True
' نُبتلي لعلنا من الذنوب نفيق ',pos,neg,False
' احتفال عائلة راديا نينجولان بعيد الميلاد http://t.co/fbLe0jS1in ',neu,neu,True
' @mahmoudessmaiel @TahrirLive فين الخلاف الاخوان والاسلامجية نفس الفكر اليميني الرأسمالي ولا حضرتك مش واخد بالك ',neu,neg,False
' فـى حـبـك كـل يـوم فـى جـديـد ولـو تـوحـشـنـى وآنـت بـعـيـد  بـالأحـسـااس بـنـتـلاقـى مـفـيـش حـاجـة أسـمـهـا مـواعــيـد ',pos,neg,False
' مينا عطا ممكن حد يجبلي رابط اي حساب بينزل صور الطلاب وهما بالسهره لاني عايزه اشوف مينا ',neu,neg,False
' يارب  خذ بيدى                 رب  أحفظنى من الشياطين أنسهم  وجنهم رب  أشفينى  وأشف كل مريض ',pos,pos,True
"' """"""انا شئ مزعج فى الحياة،،، فلا تقتربوا يا ملائيكه."""""""" '",neg,neu,False
' عن الراحه النفسيه لاحد معين ! #thebesttt❤️ ',pos,neg,False
' @lazyboy014 اهبل !!  انتبتلعب في عداد عمرك يا عبهادي  بس انا برده منور  :D ',neg,neu,False
' @ameeallam الثانوية دى بتنمى الغباء ',neg,neg,True
' العشرى جون #الزمالك الاول جول واحمد الله لانها لم يحتسب كاد انا يغير الناتيجه  احا نعملكوا ايه تانى يا ولاد المره  عوزين حكم من الصين حكم مع ',neg,pos,False
"' ""\""""اعلم أنك إذا قلت حق تريد به وجه الله فلا بد أن يُؤثر.. حتى لو رُد أمامك!\"""" '",pos,neg,False
' انتو بقيتوا منتشرين كده ليه ',neu,neg,False
"' """"""قال أبو الحسن المزين : الذنب بعد الذنب عقوبة الذنب ، والحسنة بعد الحسنة ثواب الحسنة .”"""""""" '",neu,neg,False
' @SAMIAHMED902YAH وانت طيب سامي وبالخير عليك ',pos,pos,True
' ان جيت اكلمك .. ارجع و انا كلي خووف و ان قولت اكتب رسااله .. تهرب مني الحرووف !! ♥ ',pos,neg,False
' @kermit_i ما انا دراعك اليمين يا كبير ',neu,pos,False
