lexicon,polarity,origin
ايد,1,KSA
ابارك,1,KSA
ابداع,1,KSA
ابسطنا,1,KSA
ابشركم,1,KSA
ابشرو,1,KSA
ابشروا,1,KSA
اتحدنا,1,KSA
اتشرف,1,KSA
اتلاف,1,KSA
اتمسك,1,KSA
اتوسم,1,KSA
اثبتنا,1,KSA
اثق,1,KSA
اجدع,1,KSA
اجمل,1,KSA
اجملها,1,KSA
احب,1,KSA
احبك,1,KSA
احبهم,1,KSA
احترافي,1,KSA
احترام,1,KSA
احتراما,1,KSA
احترامي,1,KSA
احترم,1,KSA
احترمو,1,KSA
احتسب,1,KSA
احتفل,1,KSA
احذرو,1,KSA
احسسن,1,KSA
احسن,1,KSA
احسنت,1,KSA
احلي,1,KSA
احمي,1,KSA
اخواننا,1,KSA
ادارة,1,KSA
ادعموا,1,KSA
ادعو,1,KSA
ارضي,1,KSA
ارفعت,1,KSA
ارفعو,1,KSA
اروع,1,KSA
ازدهار,1,KSA
استثنائي,1,KSA
استفادة,1,KSA
استفدت,1,KSA
استمتعو,1,KSA
استمر,1,KSA
استمرو,1,KSA
استمريت,1,KSA
اسعدد,1,KSA
اسود,1,KSA
اشتغلو,1,KSA
اشتغلوا,1,KSA
اصدق,1,KSA
اطلق,1,KSA
اطنخ,1,KSA
اعتذر,1,KSA
اعتزاز,1,KSA
اعظم,1,KSA
افتخر,1,KSA
افرح,1,KSA
افضل,1,KSA
افلح,1,KSA
اقوي,1,KSA
الاحترام,1,KSA
الاخلاق,1,KSA
الاخوه,1,KSA
الارتقاء,1,KSA
الاستقرار,1,KSA
الاعتزاز,1,KSA
الافضل,1,KSA
الاقويا_ء,1,KSA
الامال,1,KSA
الامان,1,KSA
الامتنان,1,KSA
الامل,1,KSA
الامن,1,KSA
الانتاجي,1,KSA
الانتاجية,1,KSA
الانتظار,1,KSA
الانتماء,1,KSA
الانسانية,1,KSA
الاهتمام,1,KSA
الاستثمار,1,KSA
الاصلاحات,1,KSA
الاصلح,1,KSA
الاقوي,1,KSA
الانسانيه,1,KSA
البركة,1,KSA
التاهل,1,KSA
التحالف,1,KSA
التحدي,1,KSA
التحول,1,KSA
التدقيق,1,KSA
الترابط,1,KSA
التسهيلات,1,KSA
التصدي,1,KSA
التطور,1,KSA
التطوير,1,KSA
التعاطف,1,KSA
التعاون,1,KSA
التفاعل,1,KSA
التقدم,1,KSA
التقدير,1,KSA
التقنيه,1,KSA
التكاتف,1,KSA
التلاحم,1,KSA
التمكين,1,KSA
التنافسية,1,KSA
التنموية,1,KSA
التنميه,1,KSA
التوفيق,1,KSA
الثقة,1,KSA
الثقه,1,KSA
الجميل,1,KSA
الحب,1,KSA
الحق,1,KSA
الحلوين,1,KSA
الحمدالله,1,KSA
الحمدلله,1,KSA
الحميه,1,KSA
الحنان,1,KSA
الحنون,1,KSA
الخبرات,1,KSA
الخير,1,KSA
الخيرات,1,KSA
الداعم,1,KSA
الدعم,1,KSA
الذكي,1,KSA
الرابح,1,KSA
الرشيدة,1,KSA
الروح,1,KSA
السداد,1,KSA
السديد,1,KSA
السعي,1,KSA
السلم,1,KSA
الشجاع,1,KSA
الشرف,1,KSA
الشرفاء,1,KSA
الشفافية,1,KSA
الشكر,1,KSA
الشموخ,1,KSA
الشوق,1,KSA
الصالح,1,KSA
الصبر,1,KSA
الصحيح,1,KSA
الطمانينه,1,KSA
الطيب,1,KSA
العادات,1,KSA
العاشقين,1,KSA
العز,1,KSA
العزة,1,KSA
العظيم,1,KSA
العفة,1,KSA
الفاضل,1,KSA
الفخر,1,KSA
الفرح,1,KSA
الفرصة,1,KSA
الفزاعه,1,KSA
الفضلاء,1,KSA
الفضيله,1,KSA
الفوز,1,KSA
القوة,1,KSA
القوه,1,KSA
الكرام,1,KSA
الكفاءات,1,KSA
المبارك,1,KSA
المثقف,1,KSA
المجد,1,KSA
المحبه,1,KSA
المحفزات,1,KSA
المحفزة,1,KSA
المراقبه,1,KSA
المساهمة,1,KSA
المستقبل,1,KSA
المسؤوليه,1,KSA
المشرق,1,KSA
المعقول,1,KSA
المفرح,1,KSA
المقدمه,1,KSA
المناسب,1,KSA
المنتج,1,KSA
المواهب,1,KSA
النجاح,1,KSA
النخوة,1,KSA
النصر,1,KSA
الهادفه,1,KSA
الهداية,1,KSA
الهمه,1,KSA
الواعي,1,KSA
الوضوح,1,KSA
الوفية,1,KSA
الولاء,1,KSA
امان,1,KSA
امل,1,KSA
امن,1,KSA
امننا,1,KSA
امنية,1,KSA
انتاجية,1,KSA
انتاجيه,1,KSA
انتصار,1,KSA
انتماء,1,KSA
انجازاته,1,KSA
انساني,1,KSA
انسانيه,1,KSA
انصح,1,KSA
انصر,1,KSA
انصرهم,1,KSA
انضباط,1,KSA
انطلاقة,1,KSA
اهتمام,1,KSA
اهداف,1,KSA
ايجابي,1,KSA
ايجابيات,1,KSA
ابتسم,1,KSA
ابداعه,1,KSA
ايجابية,1,KSA
ادب,1,KSA
اريحية,1,KSA
اسد,1,KSA
اصبروا,1,KSA
املنا,1,KSA
املوا,1,KSA
اولي,1,KSA
اؤيد,1,KSA
امنة,1,KSA
امنه,1,KSA
بارا,1,KSA
بالتنازل,1,KSA
بالتوفيق,1,KSA
بالثقة,1,KSA
بالطمانينة,1,KSA
بالفخر,1,KSA
بالنجاح,1,KSA
بالهداية,1,KSA
باخلاص,1,KSA
باقناع,1,KSA
بانجح,1,KSA
بتسخر,1,KSA
بتوفيق,1,KSA
بحب,1,KSA
بحوافز,1,KSA
بخير,1,KSA
برجاله,1,KSA
بركه,1,KSA
بطل,1,KSA
بعزك,1,KSA
بقوة,1,KSA
بلطف,1,KSA
بمبادرات,1,KSA
بناء,1,KSA
بنظافة,1,KSA
بنفوز,1,KSA
بنهدي,1,KSA
بيحققوها,1,KSA
تتحقق,1,KSA
تثقيف,1,KSA
تثقيفية,1,KSA
تجتهد,1,KSA
تدعم,1,KSA
تردع,1,KSA
ترقية,1,KSA
